\\ K2 Targets - Campaign 2
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID
\\ RA, Dec = Coordinates (J2000)
\\ Mag_Kep = Kepler magnitude
\\ Mag_Ks = Ks magnitude
\\ Num_plan = Number of confirmed planets
\\ Poss_pc = Possible planetary candidate
\\ Num_spec = Number of spectroscopy observations
\\ Num_img = Number of imaging observations
\\ Last Mod = Last modified date

EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
202592958,16:15:26.93,-29:05:40.05,14.908,11.720,0,,0,0,2016-12-19 12:00:00
202592986,16:35:14.74,-29:05:39.63,11.492,10.168,0,,0,0,2016-12-19 12:00:00
202593561,16:26:58.71,-29:05:31.86,12.653,10.084,0,,0,0,2016-12-19 12:00:00
202593646,16:28:05.76,-29:05:30.52,12.145,10.195,0,,0,0,2016-12-19 12:00:00
202594308,16:24:56.95,-29:05:21.56,12.565,10.695,0,,0,0,2016-12-19 12:00:00
202595250,16:25:59.03,-29:05:09.06,14.209,10.570,0,,0,0,2016-12-19 12:00:00
202595485,16:28:26.18,-29:05:05.54,12.228,10.306,0,,0,0,2016-12-19 12:00:00
202595737,16:12:52.02,-29:05:02.24,12.489,10.512,0,,0,0,2016-12-19 12:00:00
202596299,16:26:13.29,-29:04:54.53,14.080,10.054,0,,0,0,2016-12-19 12:00:00
202596301,16:26:19.15,-29:04:54.5,13.749,11.154,0,,0,0,2016-12-19 12:00:00
202596376,16:23:33.34,-29:04:53.43,12.538,10.771,0,,0,0,2016-12-19 12:00:00
202596509,16:27:47.85,-29:04:51.63,12.327,10.444,0,,0,0,2016-12-19 12:00:00
202596615,16:27:49.48,-29:04:50.19,11.724,9.779,0,,0,0,2016-12-19 12:00:00
202596864,16:24:57.22,-29:04:45.99,15.024,11.089,0,,0,0,2016-12-19 12:00:00
202597255,16:12:06.28,-29:04:40.9,10.185,8.886,0,,0,0,2016-12-19 12:00:00
202597940,16:27:32.34,-29:04:31.62,12.528,10.643,0,,0,0,2016-12-19 12:00:00
202598077,16:25:23.82,-29:04:29.86,14.122,10.845,0,,0,0,2016-12-19 12:00:00
202598419,16:12:39.18,-29:04:25.07,11.059,10.139,0,,0,0,2016-12-19 12:00:00
202598448,16:26:16.23,-29:04:24.7,13.239,10.538,0,,0,0,2016-12-19 12:00:00
202598546,16:13:20.31,-29:04:23.34,11.826,10.506,0,,0,0,2016-12-19 12:00:00
202599498,16:26:32.23,-29:04:10.35,14.534,11.097,0,,0,0,2016-12-19 12:00:00
202599543,16:13:33.57,-29:04:09.86,10.124,8.620,0,,0,0,2016-12-19 12:00:00
202600011,16:25:27.35,-29:04:03.52,12.561,10.385,0,,0,0,2016-12-19 12:00:00
202600436,16:25:47.54,-29:03:57.8,13.785,11.077,0,,0,0,2016-12-19 12:00:00
202600636,16:25:16.53,-29:03:55.13,14.660,11.201,0,,0,0,2016-12-19 12:00:00
202600756,16:29:50.31,-29:03:53.36,9.869,8.642,0,,0,0,2016-12-19 12:00:00
202600948,16:31:55.05,-29:03:50.74,10.300,9.004,0,,0,0,2016-12-19 12:00:00
202600984,16:22:25.58,-29:03:50.16,10.978,9.297,0,,0,0,2016-12-19 12:00:00
202601115,16:17:28.15,-29:03:48.15,11.937,10.627,0,,0,0,2016-12-19 12:00:00
202601263,16:22:47.33,-29:03:45.93,12.181,10.371,0,,0,0,2016-12-19 12:00:00
202601405,16:24:54.14,-29:03:44.18,13.878,10.500,0,,0,0,2016-12-19 12:00:00
202601551,16:26:20.24,-29:03:42.14,13.288,10.365,0,,0,0,2016-12-19 12:00:00
202601690,16:25:44.82,-29:03:40.28,13.675,10.513,0,,0,0,2016-12-19 12:00:00
202602291,16:29:39.35,-29:03:31.25,11.820,9.772,0,,0,0,2016-12-19 12:00:00
202602753,16:13:38.23,-29:03:24.83,7.461,6.162,0,,0,0,2016-12-19 12:00:00
202602926,16:26:04.85,-29:03:22.54,14.824,11.265,0,,0,0,2016-12-19 12:00:00
202602988,16:25:31.03,-29:03:21.75,12.855,9.599,0,,0,0,2016-12-19 12:00:00
202603202,16:24:36.98,-29:03:18.87,14.086,10.750,0,,0,0,2016-12-19 12:00:00
202603416,16:37:27.06,-29:03:16,11.620,10.640,0,,0,0,2016-12-19 12:00:00
202604087,16:38:22.4,-29:03:06.97,15.280,11.957,0,,0,0,2016-12-19 12:00:00
202604263,16:16:16.55,-29:03:04.63,12.375,10.875,0,,0,0,2016-12-19 12:00:00
202604283,16:10:28.19,-29:03:04.25,12.621,10.880,0,,0,0,2016-12-19 12:00:00
202604489,16:25:18.46,-29:03:01.5,13.161,9.398,0,,0,0,2016-12-19 12:00:00
202604573,16:15:28.76,-29:03:00.36,10.673,9.022,0,,0,0,2016-12-19 12:00:00
202604746,16:29:35.45,-29:02:58.03,11.523,9.501,0,,0,0,2016-12-19 12:00:00
202604807,16:28:58.85,-29:02:57.1,9.871,8.402,0,,0,0,2016-12-19 12:00:00
202604953,16:23:23.83,-29:02:55.14,9.736,8.102,0,,0,0,2016-12-19 12:00:00
202605160,16:26:29.17,-29:02:52.53,15.007,11.360,0,,0,0,2016-12-19 12:00:00
202605327,16:25:37.86,-29:02:50.19,13.675,10.518,0,,0,0,2016-12-19 12:00:00
202606073,16:19:12.49,-29:02:40.02,11.735,10.433,0,,0,0,2016-12-19 12:00:00
202606089,16:17:56.2,-29:02:39.81,11.202,9.650,0,,0,0,2016-12-19 12:00:00
202606214,16:24:55.79,-29:02:38.43,13.275,10.053,0,,0,0,2016-12-19 12:00:00
202606391,16:27:23.87,-29:02:35.76,13.672,11.171,0,,0,0,2016-12-19 12:00:00
202606496,16:27:55.65,-29:02:34.27,12.389,10.212,0,,0,0,2016-12-19 12:00:00
202606769,16:25:16.88,-29:02:30.75,15.379,11.183,0,,0,0,2016-12-19 12:00:00
202606921,16:30:19.98,-29:02:28.69,12.618,10.736,0,,0,0,2016-12-19 12:00:00
202607155,16:27:14.62,-29:02:25.05,13.838,10.491,0,,0,0,2016-12-19 12:00:00
202607322,16:23:41.96,-29:02:22.79,10.811,7.096,0,,0,0,2016-12-19 12:00:00
202607682,16:25:17.18,-29:02:17.7,11.059,7.813,0,,0,0,2016-12-19 12:00:00
202607813,16:24:32.49,-29:02:15.63,12.677,8.244,0,,0,0,2016-12-19 12:00:00
202607931,16:31:55.52,-29:02:14.21,10.834,7.949,0,,0,0,2016-12-19 12:00:00
202608541,16:31:19.93,-29:02:05.81,11.330,,0,,0,0,2016-12-19 12:00:00
202608683,16:38:27.3,-29:02:03.73,11.694,10.436,0,,0,0,2016-12-19 12:00:00
202608837,16:26:04.89,-29:02:01.98,14.616,11.193,0,,0,0,2016-12-19 12:00:00
202609156,16:16:23.01,-29:01:57.72,11.772,8.485,0,,0,0,2016-12-19 12:00:00
202610569,16:10:53.88,-29:01:37.89,12.407,10.714,0,,0,0,2016-12-19 12:00:00
202610853,16:26:22.44,-29:01:34.16,13.148,10.426,0,,0,0,2016-12-19 12:00:00
202610930,16:23:23.08,-29:01:33.16,14.678,12.299,0,,0,0,2016-12-19 12:00:00
202611921,16:27:14.06,-29:01:19.21,11.591,8.825,0,,0,0,2016-12-19 12:00:00
202612617,16:24:51.03,-29:01:09.52,14.169,10.911,0,,0,0,2016-12-19 12:00:00
202613355,16:24:40.81,-29:00:59.77,12.984,10.912,0,,0,0,2016-12-19 12:00:00
202613443,16:38:30.42,-29:00:58.73,11.818,11.454,0,,0,0,2016-12-19 12:00:00
202613714,16:18:09.58,-29:00:55.33,12.358,10.686,0,,0,0,2016-12-19 12:00:00
202613991,16:24:50.52,-29:00:51.54,13.437,11.210,0,,0,0,2016-12-19 12:00:00
202614223,16:27:59.28,-29:00:48.46,13.927,10.502,0,,0,0,2016-12-19 12:00:00
202614531,16:12:42.4,-29:00:44.37,11.606,9.881,0,,0,0,2016-12-19 12:00:00
202614750,16:26:10.85,-29:00:41.17,13.564,9.458,0,,0,0,2016-12-19 12:00:00
202614802,16:25:32.62,-29:00:40.43,12.460,9.336,0,,0,0,2016-12-19 12:00:00
202615424,16:29:11.4,-29:00:31.75,13.777,9.949,0,,0,0,2016-12-19 12:00:00
202615486,16:24:55.76,-29:00:30.63,13.368,11.056,0,,0,0,2016-12-19 12:00:00
202615524,16:17:23.23,-29:00:30.12,11.453,10.245,0,,0,0,2016-12-19 12:00:00
202616079,16:26:09.45,-29:00:22.14,14.478,10.454,0,,0,0,2016-12-19 12:00:00
202616219,16:24:47.5,-29:00:20.07,13.887,9.892,0,,0,0,2016-12-19 12:00:00
202616289,16:12:46.46,-29:00:19.16,10.066,,0,,0,0,2016-12-19 12:00:00
202616549,16:25:45.85,-29:00:15.52,13.959,10.266,0,,0,0,2016-12-19 12:00:00
202616602,16:28:11.16,-29:00:14.88,14.438,10.642,0,,0,0,2016-12-19 12:00:00
202616762,16:28:36.87,-29:00:12.65,13.316,9.831,0,,0,0,2016-12-19 12:00:00
202616963,16:38:34.86,-29:00:09.39,11.982,10.289,0,,0,0,2016-12-19 12:00:00
202616972,16:24:50.87,-29:00:09.26,10.473,7.338,0,,0,0,2016-12-19 12:00:00
202617448,16:24:51.73,-29:00:03.18,11.972,9.834,0,,0,0,2016-12-19 12:00:00
202617471,16:12:17.68,-29:00:02.83,8.600,7.458,0,,0,0,2016-12-19 12:00:00
202617622,16:40:03.04,-29:00:00.91,12.427,10.816,0,,0,0,2016-12-19 12:00:00
202618296,16:21:15.56,-28:59:52.43,11.442,9.754,0,,0,0,2016-12-19 12:00:00
202618788,16:27:41.74,-28:59:45.48,14.193,10.018,0,,0,0,2016-12-19 12:00:00
202619356,16:34:17.87,-28:59:37.48,13.215,9.213,0,,0,0,2016-12-19 12:00:00
202619819,16:11:20.06,-28:59:31.18,12.300,10.911,0,,0,0,2016-12-19 12:00:00
202620028,16:35:06.57,-28:59:28.15,10.397,8.976,0,,0,0,2016-12-19 12:00:00
202620170,16:27:02.42,-28:59:26.04,13.496,9.542,0,,0,0,2016-12-19 12:00:00
202620555,16:25:20.99,-28:59:21.08,14.277,11.222,0,,0,0,2016-12-19 12:00:00
202621661,16:12:36.93,-28:59:06.62,11.223,9.519,0,,0,0,2016-12-19 12:00:00
202622118,16:36:41.58,-28:59:00.69,10.328,9.320,0,,0,0,2016-12-19 12:00:00
202622214,16:26:13.88,-28:58:59.37,14.071,10.144,0,,0,0,2016-12-19 12:00:00
202622231,16:24:49.77,-28:58:59.25,12.830,9.574,0,,0,0,2016-12-19 12:00:00
202622296,16:08:49.78,-28:58:58.44,11.857,10.368,0,,0,0,2016-12-19 12:00:00
202622391,16:26:58.59,-28:58:56.87,11.813,9.872,0,,0,0,2016-12-19 12:00:00
202622440,16:25:43.74,-28:58:56.18,13.503,9.589,0,,0,0,2016-12-19 12:00:00
202622700,16:27:37.1,-28:58:52.34,12.576,11.028,0,,0,0,2016-12-19 12:00:00
